date,city,state,venue,link,time,info
10/24/17,Boston,MA,Harvard Book Store,http://www.harvard.com/events/2017/10/,7:00 PM,Book launch!
10/25/17,New York,NY,Book Culture,http://www.bookculture.com/,Time TBD,In Conversation w/ Jared Yates Sexson
10/26/17,Brooklyn,NY,Powerhouse Arena,https://www.powerhousearena.com/events/,7:00 PM,Reading + Signing
10/27/17,Philadelphia,PA,Barnes & Noble Rittenhouse Square,https://mstores.barnesandnoble.com/store/2850,Time TBD,Reading + Signing
10/28/17,Washington DC,DC,Politics & Prose,http://www.politics-prose.com/event/book/mike-duncan-storm-storm-beginning-of-end-of-roman-republic,1:00 PM,Oh nothing but living out a childhood fantasy
11/4/17,Madison,WI,Wisconsin Book Festival: Wisconsin Historical Society,http://www.wisconsinbookfestival.org/event_overview,10:30 AM,Reading + Signing
11/9/17,Milwaukee,WI,Boswell Books,http://www.boswellbooks.com/upcoming-events,7:00 PM,Reading + Signing
12/4/17,Los Angeles,CA,Barnes & Noble The Grove,https://mstores.barnesandnoble.com/store/2089,Time TBD,Reading + Signing
12/5/17,San Francisco,CA,Book Passage,http://www.bookpassage.com/event/mike-duncan-storm-storm-san-francisco,6:00 PM,Reading + Signing
12/6/17,Portland,OR,Powell's Books,http://www.powells.com/calendar,Time TBD,Back where it all began
12/7/17,Seattle,WA,Elliott Bay Book Company,http://www.elliottbaybook.com/events,Time TBD,Reading + Signing
TBD,Madison,WI,A Room of One's Own,http://www.roomofonesown.com/EventCalendar,Time TBD,Reading + Signing
TBD,Chicago,IL,Venue TBD,,Time TBD,Reading + Signing